日付,カテゴリ,分類,メモ,金額
2013年7月20日,電話,UFJ,NTT東日本 ご利用料金 08ガツブン,"-3,056 "
2013年7月31日,その他,UFJ,エクシール,"-24,320 "
2013年7月31日,携帯電話,UFJ,ドコモご利用料金 08ガツブン,"-8,134 "
2013年7月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2013年8月3日,ガソリン,UFJ,ナガヌマ エスエス,"-7,782 "
2013年8月5日,その他,UFJ,QOO10,"-37,300 "
2013年8月5日,その他,UFJ,ノジマ オンライン,"-11,500 "
2013年8月8日,電気,UFJ,東京電力 電気料金 13/08,"-9,143 "
2013年8月15日,ガソリン,UFJ,JASS ジヤスポ-トヤイタ,"-6,574 "
2013年8月15日,その他,UFJ,エヌエイチケイ ホウソウジユシン,"-2,450 "
2013年8月20日,電話,UFJ,NTT東日本 ご利用料金 09ガツブン,"-2,735 "
2013年8月22日,ガス,UFJ,トウキヨウガス 1195-614,"-2,899 "
2013年8月28日,その他,UFJ,AMAZON.CO.JP,"-2,278 "
2013年8月31日,携帯電話,UFJ,ドコモご利用料金 09ガツブン,"-6,938 "
2013年8月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2013年9月1日,ガソリン,UFJ,ナガヌマ エスエス,"-6,636 "
2013年9月9日,電気,UFJ,東京電力 電気料金 13/09,"-12,573 "
2013年9月17日,その他,UFJ,オルビス,"-2,630 "
2013年9月19日,その他,UFJ,家具のショウエイ,"-21,450 "
2013年9月20日,ガス,UFJ,トウキヨウガス 1195-614,"-3,250 "
2013年9月20日,電話,UFJ,NTT東日本 ご利用料金 10ガツブン,"-3,221 "
2013年9月30日,携帯電話,UFJ,ドコモご利用料金 10ガツブン,"-7,925 "
2013年9月30日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2013年10月4日,カード返済,UFJ,セゾン,"-11,100 "
2013年10月4日,給料,UFJ,シンワツウシンコウギヨウ(カ,"202,428 "
2013年10月6日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2013年10月6日,ガソリン,UFJ,ナガヌマ エスエス,"-6,421 "
2013年10月7日,ローン,UFJ,ローン,"-68,764 "
2013年10月7日,その他,UFJ,DIYツールストア 楽天市場店,"-2,380 "
2013年10月9日,電気,UFJ,東京電力 1310 5016983030505,"-8,192 "
2013年10月12日,ATM引き出し,UFJ,イオンギンコウ,"-20,000 "
2013年10月13日,その他,UFJ,クマポンバイジ-エムオ-,"-5,500 "
2013年10月13日,その他,UFJ,クマポンバイジ-エムオ-,"-2,900 "
2013年10月14日,ガソリン,UFJ,ナガヌマ エスエス,"-5,346 "
2013年10月14日,ガソリン,UFJ,ENEOS-SS,"-3,460 "
2013年10月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2013年10月15日,その他,UFJ,エヌエイチケイ ホウソウジユシン,"-2,450 "
2013年10月20日,電話,UFJ,NTT東日本 ご利用料金 11ガツブン,"-3,080 "
2013年10月22日,ガス,UFJ,トウキヨウガス 1195-614,"-4,247 "
2013年10月22日,その他,UFJ,わくわく倶楽部,"-2,100 "
2013年10月23日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2013年10月26日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2013年10月28日,カード返済,UFJ,ラクテンカードサービス,"-59,692 "
2013年10月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,380 "
2013年10月28日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2013年10月28日,車,UFJ,バッテリー再生工場,"-2,610 "
2013年10月28日,保険,UFJ,ソンポジヤパン,"-2,530 "
2013年10月28日,その他,UFJ,三井商店,"-1,260 "
2013年10月28日,インターネット,UFJ,ヤフージャパン,-399 
2013年10月31日,携帯電話,UFJ,ドコモご利用料金 11ガツブン,"-5,930 "
