日付,カテゴリ,分類,メモ,金額,,
2013/7/20,電話,楽天カード,NTT東日本 ご利用料金 08ガツブン,"-3,056",,
2013/7/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2013/7/31,その他,楽天カード,エクシール,"-24,320",,
2013/7/31,携帯電話,楽天カード,ドコモご利用料金 08ガツブン,"-8,134",,
2013/8/3,ガソリン,楽天カード,ナガヌマ エスエス,"-7,782",,
2013/8/5,その他,楽天カード,QOO10,"-37,300",,
2013/8/5,その他,楽天カード,ノジマ オンライン,"-11,500",,
2013/8/8,電気,楽天カード,東京電力 電気料金 13/08,"-9,143",,
2013/8/15,ガソリン,楽天カード,JASS ジヤスポ-トヤイタ,"-6,574",,
2013/8/15,その他,楽天カード,エヌエイチケイ ホウソウジユシン,"-2,450",,
2013/8/20,電話,楽天カード,NTT東日本 ご利用料金 09ガツブン,"-2,735",,
2013/8/22,ガス,楽天カード,トウキヨウガス 1195-614,"-2,899",,
2013/8/28,その他,楽天カード,AMAZON.CO.JP,"-2,278",,
2013/8/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2013/8/31,携帯電話,楽天カード,ドコモご利用料金 09ガツブン,"-6,938",,
2013/9/1,ガソリン,楽天カード,ナガヌマ エスエス,"-6,636",,
2013/9/9,電気,楽天カード,東京電力 電気料金 13/09,"-12,573",,
2013/9/17,その他,楽天カード,オルビス,"-2,630",,
2013/9/19,その他,楽天カード,家具のショウエイ,"-21,450",,
2013/9/20,電話,楽天カード,NTT東日本 ご利用料金 10ガツブン,"-3,221",,
2013/9/20,ガス,楽天カード,トウキヨウガス 1195-614,"-3,250",,
2013/9/30,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2013/9/30,携帯電話,楽天カード,ドコモご利用料金 10ガツブン,"-7,925",,
2013/10/4,給料,UFJ,シンワツウシンコウギヨウ(カ,"202,428",,
2013/10/4,カード返済,UFJ,セゾン,"-11,100",,
2013/10/6,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2013/10/6,ガソリン,楽天カード,ナガヌマ エスエス,"-6,421",,
2013/10/7,ローン,UFJ,ローン,"-68,764",,
2013/10/7,その他,楽天カード,DIYツールストア 楽天市場店,"-2,380",,
2013/10/9,電気,楽天カード,東京電力 1310 5016983030505,"-8,192",,
2013/10/12,ATM引き出し,UFJ,イオンギンコウ,"-20,000",,
2013/10/13,その他,楽天カード,クマポンバイジ-エムオ-,"-2,900",,
2013/10/13,その他,楽天カード,クマポンバイジ-エムオ-,"-5,500",,
2013/10/14,ガソリン,楽天カード,ENEOS-SS,"-3,460",,
2013/10/14,ガソリン,楽天カード,ナガヌマ エスエス,"-5,346",,
2013/10/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2013/10/15,その他,楽天カード,エヌエイチケイ ホウソウジユシン,"-2,450",,
2013/10/20,電話,楽天カード,NTT東日本 ご利用料金 11ガツブン,"-3,080",,
2013/10/22,ガス,楽天カード,トウキヨウガス 1195-614,"-4,247",,
2013/10/22,その他,楽天カード,わくわく倶楽部,"-2,100",,
2013/10/23,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2013/10/26,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2013/10/28,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2013/10/28,管理費,UFJ,RKS(カンリヒトウ,"-18,380",,
2013/10/28,保険,UFJ,ソンポジヤパン,"-2,530",,
2013/10/28,インターネット,UFJ,ヤフージャパン,-399,,
2013/10/28,カード返済,UFJ,ラクテンカードサービス,"-59,692",,
2013/10/28,車,楽天カード,バッテリー再生工場,"-2,610",,
2013/10/28,その他,楽天カード,三井商店,"-1,260",,
2013/10/31,水道,UFJ,ゲスイ シヨウリヨウ,"-3,352",,
2013/10/31,ATM引き出し,UFJ,リヨウキヨク10592,"-4,000",,
2013/10/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2013/10/31,携帯電話,楽天カード,ドコモご利用料金 11ガツブン,"-5,930",,
2013/11/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"218,330",,
2013/11/6,ローン,UFJ,ローン,"-68,764",,
2013/11/7,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2013/11/10,ガソリン,楽天カード,ナガヌマ エスエス,"-6,702",,
2013/11/11,電気,楽天カード,東京電力 1311 5016983030505,"-7,888",,
2013/11/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2013/11/17,灯油,楽天カード,ナガヌマ エスエス（灯油）,"-3,348",,
2013/11/20,電話,楽天カード,NTT東日本 ご利用料金 12ガツブン,"-2,878",,
2013/11/21,その他,楽天カード,インテリアトレジャーランド,"-9,200",,
2013/11/21,ガス,楽天カード,トウキヨウガス 1195-614,"-4,656",,
2013/11/25,その他,楽天カード,トウカイメガネ.コンタクト,"-3,234",,
2013/11/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2013/11/26,インターネット,UFJ,ヤフージャパン,-399,,
2013/11/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2013/11/27,カード返済,UFJ,ラクテンカードサービス,"-54,162",,
2013/11/28,管理費,UFJ,RKS(カンリヒトウ,"-18,380",,
2013/11/29,水道,UFJ,チバケン スイドウ,"-5,420",,
2013/11/30,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2013/11/30,携帯電話,楽天カード,ドコモご利用料金 12ガツブン,"-20,661",,
2013/12/4,カード返済,UFJ,セゾン,"-9,950",,
2013/12/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"239,446",,
2013/12/6,ローン,UFJ,ローン,"-68,764",,
2013/12/7,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2013/12/10,電気,楽天カード,東京電力 1312 5016983030505,"-7,159",,
2013/12/12,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2013/12/15,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2013/12/16,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2013/12/16,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"500,659",,
2013/12/19,その他,楽天カード,AMAZON.CO.JP,-398,,
2013/12/19,ガス,楽天カード,トウキヨウガス 1195-614,"-5,741",,
2013/12/20,電話,楽天カード,NTT東日本 ご利用料金 01ガツブン,"-2,274",,
2013/12/21,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2013/12/23,その他,楽天カード,AMAZON.CO.JP,-260,,
2013/12/23,灯油,楽天カード,ナガヌマ エスエス,"-1,728",,
2013/12/23,ガソリン,楽天カード,ナガヌマ エスエス,"-5,066",,
2013/12/24,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2013/12/24,手数料,UFJ,手数料,-105,,
2013/12/25,税金,UFJ,チバシコテイ,"-22,000",,
2013/12/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2013/12/26,インターネット,UFJ,ヤフージャパン,-399,,
2013/12/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2013/12/27,給料,UFJ,シンワツウシンコウギヨウ(カ,"214,192",,
2013/12/27,振替,UFJ,ヤマザキ ユウキ,"-300,000",,
2013/12/27,カード返済,UFJ,ラクテンカードサービス,"-54,848",,
2013/12/28,その他,楽天カード,グルーポン・ジャパン,"-2,000",,
2013/12/30,管理費,UFJ,RKS(カンリヒトウ,"-18,380",,
2013/12/31,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2013/12/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2013/12/31,携帯電話,楽天カード,ドコモご利用料金 01ガツブン,"-14,350",,
2014/1/6,水道,UFJ,ゲスイ シヨウリヨウ,"-3,238",,
2014/1/6,カード返済,UFJ,セゾン,-850,,
2014/1/6,ローン,UFJ,ローン,"-68,764",,
2014/1/10,電気,楽天カード,東京電力 1401 5016983030505,"-6,823",,
2014/1/12,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/1/12,灯油,楽天カード,ナガヌマ エスエス,"-1,728",,
2014/1/12,ガソリン,楽天カード,ナガヌマ エスエス,"-5,698",,
2014/1/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/1/19,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/1/19,手数料,UFJ,手数料,-210,,
2014/1/20,電話,楽天カード,NTT東日本 ご利用料金 02ガツブン,"-2,157",,
2014/1/22,その他,楽天カード,オルビス,"-2,630",,
2014/1/22,ガス,楽天カード,トウキヨウガス 1195-614,"-6,044",,
2014/1/24,灯油,楽天カード,ナガヌマ エスエス,"-3,456",,
2014/1/25,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/1/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2014/1/27,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/1/27,インターネット,UFJ,ヤフージャパン,-399,,
2014/1/27,カード返済,UFJ,ラクテンカードサービス,"-43,630",,
2014/1/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/1/29,水道,UFJ,チバケン スイドウ,"-5,260",,
2014/1/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2014/1/31,携帯電話,楽天カード,ドコモご利用料金 02ガツブン,"-15,701",,
2014/2/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"206,181",,
2014/2/6,ローン,UFJ,ローン,"-68,764",,
2014/2/7,ATM引き出し,UFJ,リヨウキヨク10592,"-30,000",,
2014/2/7,手数料,UFJ,手数料,-105,,
2014/2/7,電気,楽天カード,東京電力 1402 5016983030505,"-6,545",,
2014/2/11,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/2/16,灯油,楽天カード,ナガヌマ エスエス,"-3,456",,
2014/2/17,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
